City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Arauca,CO,75.51,overcast clouds,7.0847,-70.7591,Hotel Verano Plaza
382,Gidam,IN,71.06,scattered clouds,18.9833,81.4,Dhanshree Lodge And DormItory
383,Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
387,Ca Mau,VN,77.25,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
388,Cumberland,US,79.61,clear sky,35.0502,-78.8664,American Eagle Inn
390,Abu Samrah,SY,63.45,clear sky,35.3029,37.1841,
391,Sioux Lookout,CA,70.18,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
392,Gamba,GA,74.43,overcast clouds,-2.65,10.0,
394,Piedade,BR,70.5,broken clouds,-23.7119,-47.4278,Fênix Hotel
396,Malinao,PH,74.75,broken clouds,7.5917,124.6889,BARBER'S FARM AND RESORT
398,Takaka,NZ,62.98,overcast clouds,-40.85,172.8,Golden Bay Motels
400,Alta Floresta,BR,72.77,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
402,Tooele,US,68.95,scattered clouds,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
405,Benjamin Constant,BR,75.0,broken clouds,-4.3831,-70.0311,CASA AVALIADA
410,Charleston,US,77.22,scattered clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
414,Bentiu,SS,73.42,broken clouds,9.2333,29.8333,Mandela hôtel
418,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
419,Dire Dawa,ET,71.51,light rain,9.5931,41.8661,Samrat Hotel
420,Saint Anthony,US,73.02,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
428,Yarada,IN,79.12,few clouds,17.65,83.2667,Jeevan
430,Muros,ES,66.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
431,Poum,NC,74.48,clear sky,-20.2333,164.0167,Gîte kajeon
432,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
433,Amla,IN,70.05,scattered clouds,21.9333,78.1167,L l ganeshkar
437,Mangan,IN,69.71,scattered clouds,27.5167,88.5333,Hotel Mout View
438,Fort Dodge,US,71.82,few clouds,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
439,Tiznit,MA,74.23,overcast clouds,29.5833,-9.5,
440,Yulara,AU,62.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
442,Santiago De Cao,PE,62.73,scattered clouds,-7.9589,-79.2392,Villa Konecta - Alojamiento Familiar
444,Cascais,PT,71.51,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
445,Kawalu,ID,71.96,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
447,Faya,SA,64.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
448,Gat,IL,69.82,clear sky,31.61,34.7642,OlusHome
450,Kaeo,NZ,61.32,light rain,-35.1,173.7833,Bushido Lodge
451,Roma,US,63.43,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
453,Tazmalt,DZ,63.1,overcast clouds,36.3868,4.3989,Hôtel Numédia
454,Kota Belud,MY,78.66,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
456,Escada,BR,77.74,scattered clouds,-8.3592,-35.2236,Constantino recepções
457,Yucaipa,US,78.94,clear sky,34.0336,-117.0431,Yucaipa Regional Park
458,Cotonou,BJ,76.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
460,Nazare,BR,70.88,few clouds,-13.035,-39.0144,Hotel Victória Réghia
461,Kigoma,TZ,76.59,scattered clouds,-4.8769,29.6267,MJI Mwema Lodge
465,Horn Lake,US,75.22,scattered clouds,34.9554,-90.0348,"Hilton Garden Inn Memphis/Southaven, MS"
467,Chongoyape,PE,63.57,scattered clouds,-6.6406,-79.3892,Hostal Mulato & Chaparri
470,San Joaquin,US,79.11,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
471,Nelson Bay,AU,72.09,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
473,Byron Bay,AU,77.05,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
475,Huaicheng,CN,77.7,broken clouds,23.9051,112.1931,Tengye Hotel
476,Ankazoabo,MG,62.42,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
