City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Huancavelica,PE,-12.7667,-74.9833,41.61,83,99,4.61,light rain
295,Itoman,JP,26.1247,127.6694,80.62,92,75,4.61,broken clouds
296,Grindavik,IS,63.8424,-22.4338,46.35,65,90,17.27,overcast clouds
297,Touros,BR,-5.1989,-35.4608,79.7,84,79,17.85,broken clouds
298,Talnakh,RU,69.4865,88.3972,34.92,100,100,5.64,light rain
299,Richards Bay,ZA,-28.783,32.0377,65.3,87,99,4.65,light rain
300,Surgut,RU,61.25,73.4167,37.58,93,0,11.18,clear sky
301,Oinoi,GR,38.3235,23.6101,63.54,81,17,1.01,few clouds
302,Villazon,BO,-22.0866,-65.5942,53.65,56,97,16.31,overcast clouds
303,Nuristan,AF,35.3,70.8333,36.27,30,0,11.32,clear sky
304,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.6,93,1,9.22,clear sky
305,Graaff-Reinet,ZA,-32.2522,24.5308,53.92,90,0,2.73,clear sky
306,Kindu,CD,-2.95,25.95,69.3,95,94,0.96,overcast clouds
307,Fairbanks,US,64.8378,-147.7164,43.61,67,1,6.91,light rain
308,Russell,US,32.3502,-85.1999,78.08,89,75,5.75,broken clouds
309,Tautira,PF,-17.7333,-149.15,86.02,78,60,9.89,light rain
310,Sao Filipe,CV,14.8961,-24.4956,79.59,77,62,7.99,broken clouds
311,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,65,20,16.11,few clouds
312,Marawi,PH,7.9986,124.2928,67.64,71,100,1.3,overcast clouds
313,Namasuba,UG,0.6894,32.4214,60.39,99,43,2.21,scattered clouds
314,Canmore,CA,51.0834,-115.3521,55.24,53,66,6.91,broken clouds
315,Tahe,CN,52.3333,124.7333,36.28,99,100,1.66,overcast clouds
316,Labuhan,ID,-6.8844,112.2051,78.73,68,92,13.62,overcast clouds
317,Rodrigues Alves,BR,-7.738,-72.6509,72.73,93,99,2.73,overcast clouds
318,Husavik,IS,66.0449,-17.3389,31.91,80,64,8.84,broken clouds
319,Salalah,OM,17.0151,54.0924,80.69,83,75,4.61,broken clouds
320,Phan Thiet,VN,10.9333,108.1,76.14,90,96,8.16,overcast clouds
321,Portland,US,45.5234,-122.6762,60.62,80,75,3.44,broken clouds
322,Shchebetovka,UA,44.9333,35.15,49.98,73,100,19.89,overcast clouds
323,Sao Joao De Pirabas,BR,-0.7747,-47.1772,80.94,77,96,7.63,overcast clouds
324,Linqiong,CN,30.4159,103.4609,66.02,90,99,1.66,overcast clouds
325,Dutlwe,BW,-23.9833,23.9,73.65,33,96,8.37,overcast clouds
326,Oum Hadjer,TD,13.2954,19.6966,82.6,18,28,6.53,scattered clouds
327,Marzuq,YE,14.4,46.4667,78.57,43,54,2.53,broken clouds
328,Cordoba,AR,-31.4135,-64.1811,58.75,37,0,3.0,clear sky
329,Shache,CN,38.4167,77.2406,55.45,40,0,4.63,clear sky
330,Maldonado,UY,-34.6667,-54.9167,51.22,68,54,13.24,broken clouds
331,Wukari,NG,7.85,9.7833,74.73,94,100,5.86,light rain
332,Waipawa,NZ,-41.4122,175.5153,59.63,94,100,6.76,overcast clouds
333,Banjar,ID,-8.19,114.9675,76.91,71,72,6.15,broken clouds
334,Taua,BR,-5.9667,-40.3,85.55,29,76,9.08,broken clouds
335,Abeche,TD,13.8292,20.8324,80.91,18,43,7.9,scattered clouds
336,Nabire,ID,-3.3667,135.4833,80.89,86,100,3.04,overcast clouds
337,Kruisfontein,ZA,-34.0033,24.7314,56.88,95,25,7.74,scattered clouds
338,Slatina,RO,44.4333,24.3667,53.44,72,67,14.58,broken clouds
339,Morehead,US,37.2711,-87.1764,74.91,82,1,4.61,clear sky
340,Abha,SA,18.2164,42.5053,64.22,39,0,4.61,clear sky
341,Krasnoselkup,RU,65.7,82.4667,41.16,94,100,18.79,light rain
342,Susanville,US,40.4163,-120.653,69.64,28,40,13.8,scattered clouds
343,Manacor,ES,39.5696,3.2096,61.34,70,66,2.35,broken clouds
344,Shenjiamen,CN,29.9576,122.298,77.76,85,28,11.5,light rain
