City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Bhatkal,IN,2021-10-02 12:40:31,13.9667,74.5667,81.37,89,14,10.02
183,San Francisco De Becerra,HN,2021-10-02 12:40:32,14.6333,-86.1,76.8,93,62,0.29
184,Umm Lajj,SA,2021-10-02 12:35:17,25.0213,37.2685,85.1,64,5,16.53
185,Goderich,CA,2021-10-02 12:35:19,43.7501,-81.7165,60.91,88,100,5.75
186,Cadillac,US,2021-10-02 12:37:07,44.2519,-85.4012,61.97,93,1,0.0
187,Arlit,NE,2021-10-02 12:40:32,18.7369,7.3853,99.23,8,0,14.2
188,Puerto Lopez,CO,2021-10-02 12:40:32,4.0845,-72.956,77.79,82,65,3.67
189,Bunbury,AU,2021-10-02 12:40:33,-33.3333,115.6333,54.82,81,77,23.33
190,Aasiaat,GL,2021-10-02 12:40:33,68.7098,-52.8699,24.58,96,71,7.45
191,Tiznit,MA,2021-10-02 12:40:33,29.5833,-9.5,93.42,14,0,11.39
192,Baykit,RU,2021-10-02 12:40:34,61.67,96.37,33.49,98,100,2.66
193,Pacific Grove,US,2021-10-02 12:35:15,36.6177,-121.9166,68.58,93,90,0.0
194,Maningrida,AU,2021-10-02 12:40:34,-12.0667,134.2667,77.23,80,100,6.46
195,Tigil,RU,2021-10-02 12:40:34,57.8,158.6667,41.63,86,100,3.0
196,Kremnica,SK,2021-10-02 12:40:34,48.7052,18.9183,63.05,53,9,7.67
197,Amapa,BR,2021-10-02 12:40:21,1.0,-52.0,86.11,58,66,4.34
198,Te Anau,NZ,2021-10-02 12:34:56,-45.4167,167.7167,44.91,91,100,1.41
199,Adrar,MR,2021-10-02 12:35:04,20.5022,-10.0711,102.24,6,27,9.53
200,Geraldton,AU,2021-10-02 12:31:21,-28.7667,114.6,61.21,77,40,6.91
201,Aklavik,CA,2021-10-02 12:35:12,68.2191,-135.0107,36.32,96,100,11.63
202,Nagato,JP,2021-10-02 12:40:35,34.3833,131.2,73.35,80,0,4.9
203,Lenine,UA,2021-10-02 12:40:35,45.2986,35.7771,61.21,61,90,17.98
204,Brusque,BR,2021-10-02 12:40:36,-27.0981,-48.9175,71.37,94,100,1.01
205,Zhaotong,CN,2021-10-02 12:40:36,27.3167,103.7167,65.73,68,0,3.49
206,Matveyevka,RU,2021-10-02 12:40:36,52.15,56.1833,49.15,63,100,10.2
207,Poum,NC,2021-10-02 12:36:42,-20.2333,164.0167,74.48,82,0,19.13
208,Baijiantan,CN,2021-10-02 12:40:36,45.6333,85.1833,50.34,35,63,19.6
209,Ayan,RU,2021-10-02 12:37:15,56.45,138.1667,42.75,78,63,8.61
210,Kavaratti,IN,2021-10-02 12:35:09,10.5669,72.642,82.02,77,100,14.74
211,Boundiali,CI,2021-10-02 12:40:37,9.5217,-6.4869,73.85,90,100,5.32
212,Abrau-Dyurso,RU,2021-10-02 12:40:37,44.69,37.59,65.48,60,45,15.3
213,Karratha,AU,2021-10-02 12:31:15,-20.7377,116.8463,78.3,21,0,16.11
214,Castro,BR,2021-10-02 12:35:30,-24.7911,-50.0119,62.01,95,100,3.06
215,Knysna,ZA,2021-10-02 12:40:38,-34.0363,23.0471,53.98,78,100,18.57
216,Kryve Ozero,UA,2021-10-02 12:40:38,47.9524,30.3493,61.29,28,0,9.15
217,Puerto Ayacucho,VE,2021-10-02 12:35:27,5.6639,-67.6236,79.54,83,78,2.51
218,Marovoay,MG,2021-10-02 12:40:38,-16.1,46.6333,87.94,23,14,7.87
219,Itaituba,BR,2021-10-02 12:40:39,-4.2761,-55.9836,78.96,83,75,3.31
220,Bacolod,PH,2021-10-02 12:38:53,10.6667,122.95,79.09,83,100,3.04
221,Leningradskiy,RU,2021-10-02 12:40:39,69.3833,178.4167,12.67,77,11,11.72
222,Canguaretama,BR,2021-10-02 12:40:39,-6.38,-35.1289,84.69,62,32,14.41
223,Amarante Do Maranhao,BR,2021-10-02 12:40:40,-5.5667,-46.7422,79.03,71,91,7.02
224,Nanortalik,GL,2021-10-02 12:34:40,60.1432,-45.2371,41.95,55,0,10.36
225,Eyl,SO,2021-10-02 12:40:40,7.9803,49.8164,83.66,65,59,25.37
226,Zambezi,ZM,2021-10-02 12:40:40,-13.5432,23.1047,75.42,60,98,3.53
227,Komsomolskiy,UZ,2021-10-02 12:40:41,40.4272,71.7189,60.22,35,100,6.91
228,Christchurch,NZ,2021-10-02 12:36:23,-43.5333,172.6333,51.01,84,100,2.3
229,Kandrian,PG,2021-10-02 12:40:41,-6.2167,149.55,77.38,85,92,3.15
230,Antonina,BR,2021-10-02 12:40:41,-25.4286,-48.7119,80.73,74,100,1.48
231,Alugan,PH,2021-10-02 12:40:42,12.2188,125.4808,81.63,81,100,3.89
232,Banda Aceh,ID,2021-10-02 12:40:42,5.5577,95.3222,80.17,82,85,2.3
233,Pocone,BR,2021-10-02 12:40:42,-16.2567,-56.6228,97.47,32,0,10.16
234,Pisco,PE,2021-10-02 12:34:46,-13.7,-76.2167,61.02,88,90,4.61
235,Brownsville,US,2021-10-02 12:36:12,25.9018,-97.4975,73.35,94,40,3.44
236,Kungurtug,RU,2021-10-02 12:40:43,50.5994,97.5228,24.98,85,26,2.73
237,Batagay,RU,2021-10-02 12:36:01,67.6333,134.6333,22.32,69,13,2.1
238,Wanning,CN,2021-10-02 12:40:43,18.8003,110.3967,78.8,81,9,3.65
239,Whitehorse,CA,2021-10-02 12:39:47,60.7161,-135.0538,43.57,60,90,23.0
240,Zhangye,CN,2021-10-02 12:40:43,38.9342,100.4517,62.6,29,97,6.2
241,Mangrol,IN,2021-10-02 12:40:44,21.1167,70.1167,82.02,78,71,4.43
242,Havre-Saint-Pierre,CA,2021-10-02 12:40:44,50.2334,-63.5986,43.39,93,90,10.36
243,Mattru,SL,2021-10-02 12:40:44,7.6244,-11.8332,85.39,66,98,4.92
244,Uarini,BR,2021-10-02 12:40:45,-2.99,-65.1083,76.95,87,100,1.16
245,Santa Maria,BR,2021-10-02 12:37:46,-29.6842,-53.8069,61.9,88,20,8.05
246,Labuhan,ID,2021-10-02 12:37:16,-6.8844,112.2051,81.25,74,100,0.38
247,Severo-Kurilsk,RU,2021-10-02 12:34:41,50.6789,156.125,49.01,96,100,16.08
248,Media Luna,CU,2021-10-02 12:40:45,20.1419,-77.435,79.02,79,2,9.15
249,Svencionys,LT,2021-10-02 12:40:45,55.15,26.1667,48.42,75,100,10.8
250,Georgetown,MY,2021-10-02 12:33:01,5.4112,100.3354,84.15,79,20,0.0
251,Ouadda,CF,2021-10-02 12:40:46,8.0777,22.4007,85.98,55,100,4.27
252,Shiyan,CN,2021-10-02 12:40:46,32.6475,110.7781,76.01,80,81,1.7
253,Likasi,CD,2021-10-02 12:40:46,-10.9814,26.7333,79.18,43,100,10.47
254,Cockburn Town,TC,2021-10-02 12:35:12,21.4612,-71.1419,82.51,72,61,13.82
255,Port Hardy,CA,2021-10-02 12:35:28,50.6996,-127.4199,50.0,93,90,13.8
256,Tuktoyaktuk,CA,2021-10-02 12:34:56,69.4541,-133.0374,34.66,90,100,13.98
257,Solnechnyy,RU,2021-10-02 12:40:47,50.7214,136.6319,40.19,62,88,4.36
258,Kieta,PG,2021-10-02 12:36:22,-6.2167,155.6333,78.96,82,100,3.2
259,Coolum Beach,AU,2021-10-02 12:40:47,-26.5333,153.1,62.11,80,1,6.31
260,Norman Wells,CA,2021-10-02 12:34:47,65.282,-126.8329,35.64,87,75,5.75
261,Iracoubo,GF,2021-10-02 12:40:48,5.4802,-53.2011,81.93,82,63,8.66
262,Chokurdakh,RU,2021-10-02 12:34:43,70.6333,147.9167,8.26,95,53,5.14
263,Kushiro,JP,2021-10-02 12:35:15,42.975,144.3747,58.37,92,96,6.15
264,Shevchenkove,UA,2021-10-02 12:40:48,49.6959,37.1735,58.78,37,6,9.98
265,Blovice,CZ,2021-10-02 12:40:48,49.5822,13.5401,72.88,52,32,3.76
266,Grindavik,IS,2021-10-02 12:37:05,63.8424,-22.4338,48.15,81,75,23.02
267,Arman,RU,2021-10-02 12:35:35,59.7,150.1667,38.59,92,15,5.84
268,Tiarei,PF,2021-10-02 12:37:13,-17.5333,-149.3333,73.42,77,14,20.27
269,Talnakh,RU,2021-10-02 12:36:02,69.4865,88.3972,20.39,92,86,3.89
